date,symbol,open_price,high_price,low_price,close_price,volume,daily_change,daily_change_pct,sector,market_cap,pe_ratio,dividend_yield,ma_7,ma_30,signal
2024-03-01,AAPL,170.35,173.18,167.9,171.29,48079581,0.94,0.55,Technology,Large Cap,29.38,1.16,171.29,171.29,Sell
2024-03-01,AMZN,171.81,174.78,170.99,171.21,88764115,-0.6,-0.35,Technology,Mega Cap,23.12,0.27,171.21,171.21,Sell
2024-03-01,GOOGL,146.06,147.8,144.0,147.31,72136059,1.26,0.86,Technology,Large Cap,45.73,0.76,147.31,147.31,Sell
2024-03-01,MSFT,364.4,367.28,359.71,365.74,48329757,1.34,0.37,Technology,Mega Cap,27.55,1.32,365.74,365.74,Sell
2024-03-01,TSLA,241.09,244.42,238.19,242.76,26354283,1.67,0.69,Technology,Mega Cap,31.94,1.26,242.76,242.76,Sell
2024-03-02,AAPL,173.53,176.19,171.35,174.79,39173580,1.26,0.73,Technology,Large Cap,17.09,0.8,173.04,173.04,Sell
2024-03-02,AMZN,171.58,171.9,167.7,170.63,26258781,-0.95,-0.55,Technology,Mega Cap,27.78,0.19,170.92,170.92,Sell
2024-03-02,GOOGL,146.18,148.11,144.51,146.17,19444519,-0.0,-0.0,Technology,Large Cap,43.64,0.11,146.74,146.74,Sell
2024-03-02,MSFT,364.95,365.48,358.0,363.99,64289438,-0.96,-0.26,Technology,Mega Cap,19.99,0.51,364.86,364.86,Sell
2024-03-02,TSLA,237.82,242.59,234.77,238.4,79222493,0.58,0.24,Technology,Mega Cap,23.67,1.98,240.58,240.58,Sell
2024-03-03,AAPL,171.07,174.02,169.25,172.19,67096086,1.12,0.65,Technology,Large Cap,32.22,1.48,172.76,172.76,Sell
2024-03-03,AMZN,167.43,170.13,165.44,165.94,33764626,-1.49,-0.89,Technology,Mega Cap,17.74,0.1,169.26,169.26,Sell
2024-03-03,GOOGL,145.09,146.32,142.32,144.88,62621020,-0.21,-0.14,Technology,Large Cap,43.52,1.17,146.12,146.12,Sell
2024-03-03,MSFT,363.73,368.77,357.3,362.21,12595034,-1.52,-0.42,Technology,Large Cap,41.55,0.97,363.98,363.98,Sell
2024-03-03,TSLA,240.19,243.9,239.33,239.33,63617904,-0.87,-0.36,Technology,Large Cap,45.4,0.53,240.16,240.16,Sell
2024-03-04,AAPL,173.76,175.71,171.49,174.26,43642128,0.5,0.29,Technology,Large Cap,25.28,1.26,173.13,173.13,Sell
2024-03-04,AMZN,160.81,161.39,157.14,159.67,37193061,-1.14,-0.71,Technology,Large Cap,20.72,1.99,166.86,166.86,Sell
2024-03-04,GOOGL,145.34,145.64,141.56,144.32,22728696,-1.02,-0.7,Technology,Mega Cap,46.87,0.36,145.67,145.67,Sell
2024-03-04,MSFT,371.1,375.84,365.49,371.85,61178556,0.75,0.2,Technology,Mega Cap,44.78,1.86,365.95,365.95,Sell
2024-03-04,TSLA,247.8,251.61,243.88,246.11,32106371,-1.7,-0.68,Technology,Mega Cap,17.75,1.43,241.65,241.65,Sell
2024-03-05,AAPL,173.62,175.58,172.14,173.86,38103510,0.24,0.14,Technology,Mega Cap,41.26,1.39,173.28,173.28,Sell
2024-03-05,AMZN,154.89,157.28,152.96,154.62,86817104,-0.27,-0.18,Technology,Mega Cap,23.66,1.88,164.41,164.41,Sell
2024-03-05,GOOGL,139.33,141.95,137.13,140.09,23961443,0.76,0.55,Technology,Mega Cap,35.81,0.68,144.55,144.55,Sell
2024-03-05,MSFT,366.58,369.16,365.77,366.89,97054329,0.31,0.09,Technology,Mega Cap,15.61,1.18,366.14,366.14,Sell
2024-03-05,TSLA,253.37,253.79,252.02,252.72,62543238,-0.65,-0.26,Technology,Large Cap,32.34,0.81,243.86,243.86,Sell
2024-03-06,AAPL,170.99,172.58,169.01,170.95,37229450,-0.04,-0.02,Technology,Mega Cap,29.52,1.73,172.89,172.89,Sell
2024-03-06,AMZN,156.54,157.51,154.18,156.29,17582587,-0.26,-0.17,Technology,Large Cap,25.4,0.69,163.06,163.06,Sell
2024-03-06,GOOGL,132.68,135.52,130.46,133.78,57504483,1.11,0.83,Technology,Large Cap,26.08,0.19,142.76,142.76,Sell
2024-03-06,MSFT,362.02,364.55,355.71,362.14,36880522,0.12,0.03,Technology,Large Cap,31.06,0.63,365.47,365.47,Sell
2024-03-06,TSLA,246.08,250.34,245.02,247.99,78598503,1.91,0.78,Technology,Mega Cap,34.91,1.07,244.55,244.55,Sell
2024-03-07,AAPL,172.31,174.1,168.56,170.65,20856579,-1.66,-0.96,Technology,Large Cap,42.92,0.57,172.57,172.57,Sell
2024-03-07,AMZN,154.8,155.54,154.41,155.48,25068226,0.68,0.44,Technology,Mega Cap,40.27,0.77,161.98,161.98,Sell
2024-03-07,GOOGL,129.43,130.93,128.12,130.25,76750292,0.82,0.63,Technology,Mega Cap,49.42,1.7,140.97,140.97,Sell
2024-03-07,MSFT,365.2,367.47,355.73,362.21,76497223,-2.99,-0.82,Technology,Mega Cap,21.92,0.19,365.0,365.0,Sell
2024-03-07,TSLA,246.43,250.88,244.2,244.66,69258691,-1.77,-0.72,Technology,Large Cap,25.62,0.29,244.57,244.57,Sell
2024-03-08,AAPL,164.85,165.1,163.72,165.07,72034480,0.22,0.13,Technology,Mega Cap,45.64,1.02,171.68,171.63,Buy
2024-03-08,AMZN,156.36,158.83,155.59,156.71,19098417,0.36,0.23,Technology,Mega Cap,47.48,0.57,159.91,161.32,Sell
2024-03-08,GOOGL,131.28,132.83,130.01,130.62,80794557,-0.67,-0.51,Technology,Large Cap,18.27,0.54,138.59,139.68,Sell
